X;Y;Z;MAO;LETRA (target)
364,439;386,725;-412,457;D;A
306,705;425,374;-378,469;D;A
344,247;383,489;-437,142;D;A
399,375;431,519;-362,04;D;A
269,789;465,05;-364,833;D;A
353,748;443,859;-369,813;D;A
276,257;434,684;-451,924;D;A
269,196;419,121;-307,235;D;A
384,942;386,13;-367,11;D;A
319,86;391,311;-442,16;D;A
485,827;211,009;-301,889;D;L
466,447;202,613;-424,453;D;L
505,4;199,037;-392,63;D;L
416,685;146,938;-463,158;D;L
464,281;200,076;-321,296;D;L
445,806;213,685;-397,306;D;L
504,08;188,065;-440,662;D;L
458,541;190,47;-381,26;D;L
424,528;140,969;-430,204;D;L
449,364;187,308;-291,577;D;L
1025,721;1330,609;-1271,719;D;M
988,441;1225,792;-970,48;D;M
953,99;1311,928;-1354,461;D;M
932,729;1278,721;-1378,663;D;M
1027,287;1322,536;-1115,102;D;M
891;1273,449;-1549,533;D;M
991,027;1308,08;-1138,205;D;M
924,224;1272,078;-1591,272;D;M
1011,277;1327,709;-1081,769;D;M
888,342;1274,498;-803,935;D;M
445,938;76,785;-904,569;D;R
459,241;98,15;-795,261;D;R
454,725;135,841;-814,14;D;R
451,44;66,927;-847,733;D;R
523,8;158,866;-881,667;D;R
495,785;146,365;-836,295;D;R
557,511;168,068;-874,18;D;R
472,958;154,349;-784,814;D;R
473,168;76,733;-868,807;D;R
531,428;170,703;-792,745;D;R
750,515;317,436;-476,475;D;C
610,14;250,199;889,735;D;C
816,704;285,407;-591,912;D;C
811,744;273,707;-701,46;D;C
778,092;531,87;161,207;D;C
797,18;256,104;-934,686;D;C
846,255;272,52;-711,487;D;C
756,007;268,557;-139,876;D;C
806,508;266,781;-737,646;D;C
570,204;302,001;-449,305;D;C
578,881;360,129;-275,638;E;A
576,679;386,556;-381,746;E;A
560,251;383,035;-339,595;E;A
637,829;393,83;-304,641;E;A
606,918;436,437;-310,222;E;A
575,823;392,566;-358,213;E;A
579,262;403,795;-316,01;E;A
565,712;331,52;-411,867;E;A
600,457;395,351;-344,425;E;A
585,477;314,893;-348,166;E;A
367,187;181,208;-527,118;E;L
408,404;187,163;-517,83;E;L
406,99;242,244;-451,345;E;L
341,838;247,48;-369,779;E;L
380,015;288,515;-501,643;E;L
412,134;182,326;-544,642;E;L
406,666;232,352;-448,176;E;L
379,242;241,288;-442,498;E;L
416,094;183,049;-595,608;E;L
414,653;131,465;-758,871;E;L
1025,721;1330,609;-1271,719;E;M
988,441;1225,792;-970,48;E;M
953,99;1311,928;-1354,461;E;M
932,729;1278,721;-1378,663;E;M
1027,287;1322,536;-1115,102;E;M
891;1273,449;-1549,533;E;M
991,027;1308,08;-1138,205;E;M
1037,881;1318,597;-1101,486;E;M
924,224;1272,078;-1591,272;E;M
1011,277;1327,709;-1081,769;E;M
450,696;219,515;-582,23;E;R
399,932;226,639;-516,066;E;R
482,036;206,279;-468,739;E;R
506,358;174,399;-532,14;E;R
524,716;213,776;-495,294;E;R
608,352;152,575;-414,79;E;R
397,671;242,696;-474,94;E;R
407,41;226,9;-567,987;E;R
429,637;213,678;-599,877;E;R
564,64;131,059;-413,811;E;R
227,951;299,817;-575,103;E;C
216,058;291,27;-545,001;E;C
249,366;287,271;-661,388;E;C
250,682;313,764;-650,724;E;C
181,225;307,16;-651,072;E;C
565,686;290,949;-395,845;E;C
207,862;290,705;-515,969;E;C
210,124;290,138;-541,882;E;C
225,021;296,955;-693,013;E;C
570,204;302,001;-449,305;E;C
